"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Scraped At,Website,Phone,Social Medias,Facebook,Instagram,Twitter,Emails
ypid:YN147F2ED3CE2EA155,Cloves Indian Cuisine,"66 Madison Ave, New York, NY 10016",https://www.bing.com/th?id=OLC.vILUf88Eh7Re2g480x360&pid=Local,https://www.bing.com/maps?cp=40.74373245239258%7E-73.9863510131836&lvl=17.0&q=Cloves%20Indian%20Cuisine%20%2C%2066%20Madison%20Ave%2C%20New%20York%2C%20NY%2010016,40.74373245,-73.98635101,5,Yelp (231),Indian restaurant,Closed · Opens 11:30,2026-08-26T07:14:58.351Z,http://clovesindiannyc.com/,(646) 398-9444,"{""facebook"":""https://www.facebook.com/119160544623291"",""instagram"":""https://www.instagram.com/clovesindiancuisine""}",https://www.facebook.com/119160544623291,https://www.instagram.com/clovesindiancuisine,-- No Data --,clovesindian1@gmail.com
ypid:YN3679C4FCA6AEFDCA,Anjappar Indian Cuisine,"116 Lexington Ave, New York, NY 10016",https://www.bing.com/th?id=OLC.r7Ho39bt9cfarg480x360&pid=Local,https://www.bing.com/maps?cp=40.74260711669922%7E-73.98277282714844&lvl=17.0&q=Anjappar%20Indian%20Cuisine%20%2C%20116%20Lexington%20Ave%2C%20New%20York%2C%20NY%2010016,40.74260712,-73.98277283,3.5,Yelp (445),Indian restaurant,Closed · Opens 12:00,2026-08-26T07:14:58.352Z,https://www.anjapparusa.com/,(917) 540-5287,"{""facebook"":""https://www.facebook.com/anjapparny/"",""yelp"":""https://www.yelp.com/biz/anjappar-chettinad-restaurant-new-york-3?start=120"",""twitter"":""https://twitter.com/anjapparny""}",https://www.facebook.com/anjapparny/,-- No Data --,https://twitter.com/anjapparny,"chettinadu@gmail.com,anjapparnb@gmail.com,anjapparny@gmail.com,anjapparpct@gmail.com,bookings@corsaire.com.au"
ypid:YN6F1D1503537F93BD,Dhaba Indian Cuisine,"108 Lexington Ave, New York, NY 10016",https://www.bing.com/th?id=OLC.qfdx0GNjYI2Qug480x360&pid=Local,https://www.bing.com/maps?cp=40.74239730834961%7E-73.98291778564453&lvl=17.0&q=Dhaba%20Indian%20Cuisine%20%2C%20108%20Lexington%20Ave%2C%20New%20York%2C%20NY%2010016,40.74239731,-73.98291779,3.5,Yelp (1671),Indian restaurant,Closed · Opens 11:00,2026-08-26T07:14:58.353Z,https://www.dhabanyc.com/,(212) 679-1284,"{""facebook"":""https://www.facebook.com/dhabanyc"",""instagram"":""https://www.instagram.com/dhabanewyork/""}",https://www.facebook.com/dhabanyc,https://www.instagram.com/dhabanewyork/,-- No Data --,info@dhabanyc.com
ypid:YNAA439E3EFFA5B461,Carmine's - 44th Street - NYC,"200 W 44th St, New York, NY 10036",https://www.bing.com/th?id=OLC.fj/dCosNOEWVng480x360&pid=Local,https://www.bing.com/maps?cp=40.7574348449707%7E-73.9866943359375&lvl=17.0&q=Carmine's%20-%2044th%20Street%20-%20NYC%20%2C%20200%20W%2044th%20St%2C%20New%20York%2C%20NY%2010036,40.75743484,-73.98669434,4,Yelp (5603),Italian restaurant,Closed · Opens 11:30,2026-08-26T07:14:58.353Z,https://carminesnyc.com/locations/times-square,(212) 221-3800,"{""youtube"":""https://www.youtube.com/user/carminesnyc"",""twitter"":""https://www.twitter.com/carminesnyc"",""instagram"":""https://instagram.com/carminesnyc"",""facebook"":""https://www.facebook.com/carminesdc""}",https://www.facebook.com/carminesdc,https://instagram.com/carminesnyc,https://www.twitter.com/carminesnyc,"JSmith@carminesnyc.com,events@carminesnyc.com"
ypid:YNBFEFAD318C849FC2,GupShup,"115 E 18th St, New York, NY 10003",https://www.bing.com/th?id=OLC.u7GYAr/U5QfteA480x360&pid=Local,https://www.bing.com/maps?cp=40.736873626708984%7E-73.98761749267578&lvl=17.0&q=GupShup%20%2C%20115%20E%2018th%20St%2C%20New%20York%2C%20NY%2010003,40.73687363,-73.98761749,4,Yelp (907),Indian restaurant,Closed · Opens 17:00,2026-08-26T07:14:58.354Z,https://www.gupshupnyc.com/,(212) 518-7313,"{""facebook"":""https://www.facebook.com/gupshupnyc/"",""twitter"":""https://www.twitter.com/gupshupnyc/"",""instagram"":""https://www.instagram.com/reel/c4qo0sav5qc/"",""youtube"":""https://www.youtube.com/feed/history?utm_source=pp"",""yelp"":""https://www.yelp.com/biz/gupshup-new-york?start=140""}",https://www.facebook.com/gupshupnyc/,https://www.instagram.com/reel/c4qo0sav5qc/,https://www.twitter.com/gupshupnyc/,"info@GupShupnyc.com,info@gupshupnyc.com,events@gupshupnyc.com"
ypid:YN5E057616FAB9475E,India At Times Square,"332 W 44th St, New York, NY 10036",https://www.bing.com/th?id=OLC.7SFaH7N07KkWjA480x360&pid=Local,https://www.bing.com/maps?cp=40.759033203125%7E-73.99060821533203&lvl=17.0&q=India%20At%20Times%20Square%20%2C%20332%20W%2044th%20St%2C%20New%20York%2C%20NY%2010036,40.7590332,-73.99060822,4.5,Yelp (137),Indian restaurant,Closed · Opens 11:30,2026-08-26T07:14:58.354Z,https://indiaattimessquare.com/,(646) 476-4356,"{""facebook"":""https://www.facebook.com/india.timessquare.1"",""instagram"":""https://www.instagram.com/indiaattimessquare/"",""yelp"":""https://www.yelp.com/biz/india-at-time-square-new-york?start=30""}",https://www.facebook.com/india.timessquare.1,https://www.instagram.com/indiaattimessquare/,-- No Data --,Indiaattimessquareny@gmail.com
ypid:YN75CCB067B5E01256,Upland,"345 Park Ave S, New York, NY 10010",https://www.bing.com/th?id=OLC.llYKm7n4kiZILA480x360&pid=Local,https://www.bing.com/maps?cp=40.74184799194336%7E-73.98494720458984&lvl=17.0&q=Upland%20%2C%20345%20Park%20Ave%20S%2C%20New%20York%2C%20NY%2010010,40.74184799,-73.9849472,4,Yelp (1348),Restaurant,Closed · Opens 11:30,2026-08-26T07:14:58.355Z,https://uplandnyc.com/,(212) 686-1006,"{""instagram"":""https://www.instagram.com/starrrestaurant/"",""facebook"":""https://www.facebook.com/uplandnyc/"",""spotify"":""https://open.spotify.com/user/starrrestaurants"",""linkedin"":""https://www.linkedin.com/company/starr-restaurants/"",""yelp"":""https://www.yelp.com/biz/upland-new-york"",""twitter"":""https://twitter.com/upland_nyc""}",https://www.facebook.com/uplandnyc/,https://www.instagram.com/starrrestaurant/,https://twitter.com/upland_nyc,"upland.info@starr-restaurants.com,upland.press@starr-restaurants.com,upland.events@starr-restaurants.com,starr.info@starr-restaurants.com,n***@uplandnyc.com,upland.marketing@starr-restaurants.com,manager@myuplandpark.com"
ypid:YN239EA3521F59121,Saar Indian Cuisine & Bar,"241 W 51st St, New York, NY 10019",https://www.bing.com/th?id=OLC.heG5VeKc9f4HUg480x360&pid=Local,https://www.bing.com/maps?cp=40.762752532958984%7E-73.98480224609375&lvl=17.0&q=Saar%20Indian%20Cuisine%20%26%20Bar%20%2C%20241%20W%2051st%20St%2C%20New%20York%2C%20NY%2010019,40.76275253,-73.98480225,4.5,Yelp (527),Indian restaurant,Closed · Opens 12:00,2026-08-26T07:14:58.355Z,https://www.saarnyc.com/,(646) 609-2142,"{""facebook"":""https://www.facebook.com/profile.php?id=61574754372322"",""instagram"":""https://www.instagram.com/saarnyc/"",""yelp"":""https://www.yelp.com/biz/saar-indian-bistro-new-york"",""youtube"":""https://www.youtube.com/watch?v=h6iiqln-74i"",""twitter"":""https://twitter.com/saarnyc""}",https://www.facebook.com/profile.php?id=61574754372322,https://www.instagram.com/saarnyc/,https://twitter.com/saarnyc,"saarmanagementnyc@gmail.com,hemant@saarnyc.com,saarnyc@gmail.com"
ypid:YN969FD483E85E76BE,Lungi South Indian & Sri Lankan Restaurant,"1136 1st Ave, New York, NY 10065",https://www.bing.com/th?id=OLC.nh3WErKvMo8jTw480x360&pid=Local,https://www.bing.com/maps?cp=40.761680603027344%7E-73.96023559570312&lvl=17.0&q=Lungi%20South%20Indian%20%26%20Sri%20Lankan%20Restaurant%20%2C%201136%201st%20Ave%2C%20New%20York%2C%20NY%2010065,40.7616806,-73.9602356,4.5,Yelp (380),Indian restaurant,Closed · Opens 12:00,2026-08-26T07:14:58.356Z,http://lungirestaurant.com/,(212) 256-0073,"{""instagram"":""https://www.instagram.com/lungirestaurant"",""facebook"":""https://www.facebook.com/1557707881225905""}",https://www.facebook.com/1557707881225905,https://www.instagram.com/lungirestaurant,-- No Data --,contact@lungirestaurant.com
ypid:YN520C992AF3F3E1C6,Kellari Taverna,"19 W 44th St, New York, NY 10036",https://www.bing.com/th?id=OLC.F/26GGRHMCPRMw480x360&pid=Local,https://www.bing.com/maps?cp=40.75537109375%7E-73.98104095458984&lvl=17.0&q=Kellari%20Taverna%20%2C%2019%20W%2044th%20St%2C%20New%20York%2C%20NY%2010036,40.75537109,-73.98104095,3.5,Yelp (872),Greek restaurant,Closed · Opens 11:30,2026-08-26T07:14:58.356Z,http://www.kellariny.com/,(212) 221-0144,"{""facebook"":""https://www.facebook.com/kellariny/"",""instagram"":""https://instagram.com/kellariny"",""yelp"":""https://www.yelp.com/biz/kellari-new-york-new-york?start=500"",""twitter"":""https://twitter.com/kellariny""}",https://www.facebook.com/kellariny/,https://instagram.com/kellariny,https://twitter.com/kellariny,"filler@godaddy.com,info@kellariny.com"
