"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Scraped At,Website,Phone,Social Medias,Facebook,Instagram,Twitter,Emails
ypid:YN83D872346CFCAF9B,SAINT RESTAURANT BAR & SPEAKEASY,"136 2nd Ave, New York, NY 10003",https://www.bing.com/th?id=OLC.7uV8lln3MODYAQ480x360&pid=Local,https://www.bing.com/maps?cp=40.728668212890625%7E-73.9871826171875&lvl=17.0&q=SAINT%20RESTAURANT%20BAR%20%26%20SPEAKEASY%20%2C%20136%202nd%20Ave%2C%20New%20York%2C%20NY%2010003,40.72866821,-73.98718262,4,Yelp (183),American (new) restaurant,Closed · Opens 17:00,2026-08-26T07:02:54.613Z,http://www.saintny.com/,(347) 588-9817,-- No Data --,-- No Data --,-- No Data --,-- No Data --,"Lebedowiczg@gmail.com,events@saintny.com,Melissa@saintny.com,Events@saintny.com"
ypid:YNFAD0E939C160DD09,Manhatta,"28 Liberty St, New York, NY 10005",https://www.bing.com/th?id=OLC.g1Jf/4QgOxsU/g480x360&pid=Local,https://www.bing.com/maps?cp=40.70784378051758%7E-74.00899505615234&lvl=17.0&q=Manhatta%20%2C%2028%20Liberty%20St%2C%20New%20York%2C%20NY%2010005,40.70784378,-74.00899506,4.5,Yelp (953),American (new) restaurant,Closed · Opens 11:30,2026-08-26T07:02:54.613Z,https://www.manhattarestaurant.com/restaurant-menu/,(212) 230-5788,"{""facebook"":""https://www.facebook.com/manhattarestaurant/"",""twitter"":""https://twitter.com/manhatta_nyc"",""instagram"":""https://www.instagram.com/manhatta_nyc/"",""youtube"":""https://www.youtube.com/feed/history?utm_source=pp""}",https://www.facebook.com/manhattarestaurant/,https://www.instagram.com/manhatta_nyc/,https://twitter.com/manhatta_nyc,-- No Data --
ypid:YN68C07AF65A1D659A,Atera,"77 Worth St, New York, NY 10013",https://www.bing.com/th?id=OLC.UaGChaUNi0FlCQ480x360&pid=Local,https://www.bing.com/maps?cp=40.71703338623047%7E-74.0056381225586&lvl=17.0&q=Atera%20%2C%2077%20Worth%20St%2C%20New%20York%2C%20NY%2010013,40.71703339,-74.00563812,4.5,Yelp (382),American (new) restaurant,Closed · Opens 17:00,2026-08-26T07:02:54.614Z,http://www.ateranyc.com/,(212) 226-1444,"{""twitter"":""https://twitter.com/ateranyc"",""instagram"":""https://instagram.com/ateranyc"",""facebook"":""https://facebook.com/atera-nyc-200781280029847"",""yelp"":""https://www.yelp.com/biz/atera-new-york?start=120""}",https://facebook.com/atera-nyc-200781280029847,https://instagram.com/ateranyc,https://twitter.com/ateranyc,"reservations@ateranyc.com,privateevents@ateranyc.com,info@ateranyc.com,press@ateranyc.com,thelounge@ateranyc.com"
ypid:YNACADD8327E85CF2B,Au Cheval,"33 Cortlandt Alley, New York, NY 10013",https://www.bing.com/th?id=OLC.Rk+3l66fSzHuQA480x360&pid=Local,https://www.bing.com/maps?cp=40.71815872192383%7E-74.00184631347656&lvl=17.0&q=Au%20Cheval%20%2C%2033%20Cortlandt%20Alley%2C%20New%20York%2C%20NY%2010013,40.71815872,-74.00184631,4.5,Yelp (1393),American (new) restaurant,Closed · Opens 12:00,2026-08-26T07:02:54.614Z,https://www.auchevaldiner.com/nyc/home,(646) 350-2429,"{""facebook"":""https://www.facebook.com/aucheval"",""twitter"":""http://twitter.com/@aucheval"",""instagram"":""https://instagram.com/auchevaldiner"",""yelp"":""https://www.yelp.com/biz/au-cheval-new-york-7""}",https://www.facebook.com/aucheval,https://instagram.com/auchevaldiner,http://twitter.com/@aucheval,"contact@auchevalchicago.com,dataprotection@Hogsalt.com,Topsonlinecs@tops.co.th,hello@michelleinfusino.com,hi@drinkghia.com,dataprotection@hogsalt.com,legal@hogsalt.com,commercial@namadr.com,CONTACT@AUCHEVALNYC.COM"
ypid:YN1126FF648844E79D,Delmonico's,"56 Beaver St, New York, NY 10004",https://www.bing.com/th?id=OLC.v4d5S0aWCzUFsw480x360&pid=Local,https://www.bing.com/maps?cp=40.70492935180664%7E-74.01033782958984&lvl=17.0&q=Delmonico's%20%2C%2056%20Beaver%20St%2C%20New%20York%2C%20NY%2010004,40.70492935,-74.01033783,4,Yelp (1491),Steakhouse,Closed · Opens 12:00,2026-08-26T07:02:54.614Z,https://www.theoriginaldelmonicos.com/,(212) 381-1237,"{""facebook"":""https://www.facebook.com/settings/?tab=ads"",""instagram"":""https://www.instagram.com/delmonicosnewyork/"",""youtube"":""https://www.youtube.com/feed/history?utm_source=pp""}",https://www.facebook.com/settings/?tab=ads,https://www.instagram.com/delmonicosnewyork/,-- No Data --,"support@getbento.com,info@theoriginaldelmonicos.com,enquiries@trenthamwedding.com.au,maxtucci@theoriginaldelmonicos.com"
ypid:YNB1BCAED19196EA4C,Gramercy Tavern,"42 E 20th St, New York, NY 10003",https://www.bing.com/th?id=OLC.kCP+8peh/BYefg480x360&pid=Local,https://www.bing.com/maps?cp=40.73843765258789%7E-73.98849487304688&lvl=17.0&q=Gramercy%20Tavern%20%2C%2042%20E%2020th%20St%2C%20New%20York%2C%20NY%2010003,40.73843765,-73.98849487,4.5,Yelp (3839),American (new) restaurant,Closed · Opens 11:30,2026-08-26T07:02:54.614Z,https://www.gramercytavern.com/,(212) 477-0777,"{""facebook"":""https://www.facebook.com/gramercy-tavern-113135062061277/timeline/"",""twitter"":""https://twitter.com/gramercytavern"",""instagram"":""https://instagram.com/gramercytavern"",""youtube"":""https://www.youtube.com/feed/history?utm_source=pp""}",https://www.facebook.com/gramercy-tavern-113135062061277/timeline/,https://instagram.com/gramercytavern,https://twitter.com/gramercytavern,"donations@ushgnyc.com,info@ushg.com,Legal@ushg.com,JSmith@gramercytavern.com,www.tiktok.com/@food.is.love.tv"
ypid:YN84FA10788CCCC2EB,Carnitas Ramirez,"210 E 3rd St, New York, NY 10009",https://www.bing.com/th?id=OLC.DR6APngCYX87Kw480x360&pid=Local,https://www.bing.com/maps?cp=40.722503662109375%7E-73.98284912109375&lvl=17.0&q=Carnitas%20Ramirez%20%2C%20210%20E%203rd%20St%2C%20New%20York%2C%20NY%2010009,40.72250366,-73.98284912,4.5,Yelp (92),Mexican restaurant,Closed · Opens 12:00,2026-08-26T07:02:54.615Z,https://www.carnitasramirez.com/,(718) 421-8555,"{""instagram"":""https://instagram.com/carnitasramireznyc""}",-- No Data --,https://instagram.com/carnitasramireznyc,-- No Data --,tania@carnitasramirez.com
ypid:YNCD1EF0980452105D,The River Café,"11 Water St, Fulton Ferry, NY",https://www.bing.com/th?id=OLC.QbeqsL+mmnHTyg480x360&pid=Local,https://www.bing.com/maps?cp=40.703834533691406%7E-73.99478149414062&lvl=17.0&q=The%20River%20Caf%C3%A9%20%2C%2011%20Water%20St%2C%20Fulton%20Ferry%2C%20NY,40.70383453,-73.99478149,4,Yelp (1395),American (new) restaurant,Closed · Opens 17:00,2026-08-26T07:02:54.615Z,https://www.rivercafe.com/,(718) 522-5200,"{""facebook"":""https://www.facebook.com/therivercafenyc/"",""twitter"":""https://www.twitter.com/therivercafe"",""pinterest"":""https://www.pinterest.com/therivercafenyc/"",""instagram"":""https://www.instagram.com/therivercafe/""}",https://www.facebook.com/therivercafenyc/,https://www.instagram.com/therivercafe/,https://www.twitter.com/therivercafe,"scott@rivercafe.com,giftcertificates@rivercafe.com,info@rivercafe.com.au,info@redochre.com.au,info@rivercafe.com.mx,baker@rivercafe.com,jane@rivercafe.com,janedoe@rivercafe.com,rivercafe@trex.style,info@rivercafe.com,privateevents@rivercafe.com,office@rivercafe.com,rhfelipe@rivercafe.com.mx,michael@rivercafe.com,okeeffe@rivercafe.com"
ypid:YN206B5CA5504823EE,Kabawa,"8 Extra Pl, New York, NY 10003",https://www.bing.com/th?id=OLC.YyvQpZT8k11T3g480x360&pid=Local,https://www.bing.com/maps?cp=40.72483825683594%7E-73.99163818359375&lvl=17.0&q=Kabawa%20%2C%208%20Extra%20Pl%2C%20New%20York%2C%20NY%2010003,40.72483826,-73.99163818,4.5,Yelp (53),Caribbean restaurant,Closed · Opens 17:30,2026-08-26T07:02:54.615Z,https://www.momofuku.com/restaurants/kabawa,(646) 790-8747,"{""twitter"":""https://twitter.com/davidchang"",""facebook"":""https://www.facebook.com/davidchang.momofuku"",""instagram"":""https://instagram.com/davidchang/"",""tiktok"":""https://www.tiktok.com/@momofuku?lang=en""}",https://www.facebook.com/davidchang.momofuku,https://instagram.com/davidchang/,https://twitter.com/davidchang,"privacy@momofuku.com,domoevents@momofuku.com,hello@kabawa.com,legal@momofuku.com,info@momofuku.com,hello@barkabawa.com"
ypid:YNAA439E3EFFA5B461,Carmine's - 44th Street - NYC,"200 W 44th St, New York, NY 10036",https://www.bing.com/th?id=OLC.fj/dCosNOEWVng480x360&pid=Local,https://www.bing.com/maps?cp=40.7574348449707%7E-73.9866943359375&lvl=17.0&q=Carmine's%20-%2044th%20Street%20-%20NYC%20%2C%20200%20W%2044th%20St%2C%20New%20York%2C%20NY%2010036,40.75743484,-73.98669434,4,Yelp (5603),Italian restaurant,Closed · Opens 11:30,2026-08-26T07:02:54.615Z,https://carminesnyc.com/locations/times-square,(212) 221-3800,"{""youtube"":""https://www.youtube.com/user/carminesnyc"",""twitter"":""https://www.twitter.com/carminesnyc"",""instagram"":""https://instagram.com/carminesnyc"",""facebook"":""https://www.facebook.com/carminesdc""}",https://www.facebook.com/carminesdc,https://instagram.com/carminesnyc,https://www.twitter.com/carminesnyc,"JSmith@carminesnyc.com,events@carminesnyc.com"
